Time,    0-1000 us
12/13/2023 12:54,5.01 K
12/13/2023 12:54,5.16 K
12/13/2023 12:54,5.16 K
12/13/2023 12:54,5.16 K
12/13/2023 12:54,5.16 K
12/13/2023 12:54,5.16 K
12/13/2023 12:54,5.63 K
12/13/2023 12:54,5.63 K
12/13/2023 12:54,5.63 K
12/13/2023 12:54,5.63 K
12/13/2023 12:54,5.63 K
12/13/2023 12:54,5.56 K
12/13/2023 12:54,5.56 K
12/13/2023 12:54,5.56 K
12/13/2023 12:54,5.56 K
12/13/2023 12:54,5.56 K
12/13/2023 12:54,5.72 K
12/13/2023 12:54,5.72 K
12/13/2023 12:55,5.72 K
12/13/2023 12:55,5.72 K
12/13/2023 12:55,3.02 K
12/13/2023 12:55,5.62 K
12/13/2023 12:55,5.62 K
12/13/2023 12:55,5.62 K
12/13/2023 12:55,5.62 K
12/13/2023 12:55,5.62 K
12/13/2023 12:55,4.54 K
12/13/2023 12:55,4.54 K
12/13/2023 12:55,4.54 K
12/13/2023 12:55,4.54 K
12/13/2023 12:55,4.54 K
12/13/2023 12:55,3.45 K
12/13/2023 12:55,3.45 K
12/13/2023 12:55,3.45 K
12/13/2023 12:55,3.45 K
12/13/2023 12:55,3.45 K
12/13/2023 12:55,5.52 K
12/13/2023 12:55,5.52 K
12/13/2023 12:55,5.52 K
12/13/2023 12:55,5.52 K
12/13/2023 12:55,3.89 K
12/13/2023 12:55,4.96 K
12/13/2023 12:55,4.96 K
12/13/2023 12:55,4.96 K
12/13/2023 12:55,4.96 K
12/13/2023 12:55,4.96 K
12/13/2023 12:55,3.44 K
12/13/2023 12:55,3.44 K
12/13/2023 12:55,3.44 K
12/13/2023 12:55,3.44 K
12/13/2023 12:55,1.63 K
12/13/2023 12:55,4.50 K
12/13/2023 12:55,4.50 K
12/13/2023 12:55,4.50 K
12/13/2023 12:55,4.50 K
12/13/2023 12:55,3.82 K
12/13/2023 12:55,5.16 K
12/13/2023 12:55,5.16 K
12/13/2023 12:55,5.16 K
12/13/2023 12:55,5.16 K
12/13/2023 12:55,5.16 K
12/13/2023 12:55,5.10 K
12/13/2023 12:55,5.10 K
12/13/2023 12:55,5.10 K
12/13/2023 12:55,5.10 K
12/13/2023 12:55,5.10 K
12/13/2023 12:55,5.93 K
12/13/2023 12:55,5.93 K
12/13/2023 12:55,5.93 K
12/13/2023 12:55,5.93 K
12/13/2023 12:55,3.82 K
12/13/2023 12:55,5.96 K
12/13/2023 12:55,5.96 K
12/13/2023 12:55,5.96 K
12/13/2023 12:55,5.96 K
12/13/2023 12:55,5.96 K
12/13/2023 12:55,5.58 K
12/13/2023 12:55,5.58 K
12/13/2023 12:56,5.58 K
12/13/2023 12:56,5.58 K
12/13/2023 12:56,5.58 K
12/13/2023 12:56,5.67 K
12/13/2023 12:56,5.67 K
12/13/2023 12:56,5.67 K
12/13/2023 12:56,5.67 K
12/13/2023 12:56,5.67 K
12/13/2023 12:56,5.73 K
12/13/2023 12:56,5.73 K
12/13/2023 12:56,5.73 K
12/13/2023 12:56,5.73 K
12/13/2023 12:56,5.73 K
12/13/2023 12:56,4.39 K
12/13/2023 12:56,4.39 K
12/13/2023 12:56,4.39 K
12/13/2023 12:56,4.39 K
12/13/2023 12:56,4.39 K
12/13/2023 12:56,4.03 K
12/13/2023 12:56,4.03 K
12/13/2023 12:56,4.03 K
12/13/2023 12:56,4.03 K
12/13/2023 12:56,4.03 K
12/13/2023 12:56,6.84 K
12/13/2023 12:56,6.84 K
12/13/2023 12:56,6.84 K
12/13/2023 12:56,6.84 K
12/13/2023 12:56,6.84 K
12/13/2023 12:56,7.28 K
12/13/2023 12:56,7.28 K
12/13/2023 12:56,7.28 K
12/13/2023 12:56,7.28 K
12/13/2023 12:56,7.28 K
12/13/2023 12:56,6.36 K
12/13/2023 12:56,6.36 K
12/13/2023 12:56,6.36 K
12/13/2023 12:56,6.36 K
12/13/2023 12:56,6.36 K
12/13/2023 12:56,6.02 K
12/13/2023 12:56,6.02 K
12/13/2023 12:56,6.02 K
12/13/2023 12:56,6.02 K
12/13/2023 12:56,6.02 K
12/13/2023 12:56,5.99 K
12/13/2023 12:56,5.99 K
12/13/2023 12:56,5.99 K
12/13/2023 12:56,5.99 K
12/13/2023 12:56,5.99 K
12/13/2023 12:56,5.91 K
