Time,200
12/13/2023 12:53,2.73 K
12/13/2023 12:53,2.73 K
12/13/2023 12:53,2.73 K
12/13/2023 12:53,2.61 K
12/13/2023 12:53,2.61 K
12/13/2023 12:53,2.61 K
12/13/2023 12:53,2.61 K
12/13/2023 12:53,2.61 K
12/13/2023 12:53,2.26 K
12/13/2023 12:53,2.26 K
12/13/2023 12:53,1.13 K
12/13/2023 12:54,1.13 K
12/13/2023 12:54,1.13 K
12/13/2023 12:54,788
12/13/2023 12:54,788
12/13/2023 12:54,733
12/13/2023 12:54,733
12/13/2023 12:54,733
12/13/2023 12:54,810
12/13/2023 12:54,810
12/13/2023 12:54,1.42 K
12/13/2023 12:54,1.42 K
12/13/2023 12:54,1.42 K
12/13/2023 12:54,709
12/13/2023 12:54,709
12/13/2023 12:54,1.47 K
12/13/2023 12:54,1.47 K
12/13/2023 12:54,1.47 K
12/13/2023 12:54,2.17 K
12/13/2023 12:54,2.17 K
12/13/2023 12:54,2.24 K
12/13/2023 12:54,2.24 K
12/13/2023 12:54,2.24 K
12/13/2023 12:54,2.72 K
12/13/2023 12:54,2.72 K
12/13/2023 12:54,2.50 K
12/13/2023 12:54,2.50 K
12/13/2023 12:54,2.50 K
12/13/2023 12:54,2.50 K
12/13/2023 12:54,2.50 K
12/13/2023 12:54,2.51 K
12/13/2023 12:55,2.51 K
12/13/2023 12:55,1.46 K
12/13/2023 12:55,2.41 K
12/13/2023 12:55,2.41 K
12/13/2023 12:55,1.67 K
12/13/2023 12:55,1.67 K
12/13/2023 12:55,1.67 K
12/13/2023 12:55,1.11 K
12/13/2023 12:55,1.11 K
12/13/2023 12:55,1.29 K
12/13/2023 12:55,1.29 K
12/13/2023 12:55,1.22 K
12/13/2023 12:55,1.08 K
12/13/2023 12:55,1.08 K
12/13/2023 12:55,886
12/13/2023 12:55,886
12/13/2023 12:55,629
12/13/2023 12:55,1.66 K
12/13/2023 12:55,1.66 K
12/13/2023 12:55,2.08 K
12/13/2023 12:55,2.08 K
12/13/2023 12:55,2.08 K
12/13/2023 12:55,2.35 K
12/13/2023 12:55,2.35 K
12/13/2023 12:55,2.28 K
12/13/2023 12:55,2.28 K
12/13/2023 12:55,1.56 K
12/13/2023 12:55,2.34 K
12/13/2023 12:55,2.34 K
12/13/2023 12:55,2.26 K
12/13/2023 12:56,2.26 K
12/13/2023 12:56,2.26 K
12/13/2023 12:56,2.28 K
12/13/2023 12:56,2.28 K
12/13/2023 12:56,2.23 K
12/13/2023 12:56,2.23 K
12/13/2023 12:56,2.23 K
12/13/2023 12:56,1.41 K
12/13/2023 12:56,1.41 K
12/13/2023 12:56,1.15 K
12/13/2023 12:56,1.15 K
12/13/2023 12:56,1.15 K
12/13/2023 12:56,1.55 K
12/13/2023 12:56,1.55 K
12/13/2023 12:56,1.69 K
12/13/2023 12:56,1.69 K
12/13/2023 12:56,1.69 K
12/13/2023 12:56,2.00 K
12/13/2023 12:56,2.00 K
12/13/2023 12:56,2.28 K
12/13/2023 12:56,2.28 K
12/13/2023 12:56,2.28 K
12/13/2023 12:56,2.27 K
12/13/2023 12:56,2.27 K
12/13/2023 12:56,2.70 K
12/13/2023 12:56,2.70 K
12/13/2023 12:56,2.70 K
12/13/2023 12:56,2.46 K
12/13/2023 12:56,2.46 K
12/13/2023 12:56,2.47 K
12/13/2023 12:57,2.47 K
12/13/2023 12:57,2.47 K
12/13/2023 12:57,2.46 K
12/13/2023 12:57,2.46 K
12/13/2023 12:57,2.48 K
12/13/2023 12:57,2.48 K
12/13/2023 12:57,2.48 K
12/13/2023 12:57,2.45 K
12/13/2023 12:57,2.45 K
12/13/2023 12:57,2.46 K
12/13/2023 12:57,2.46 K
12/13/2023 12:57,2.46 K
12/13/2023 12:57,2.47 K
12/13/2023 12:57,2.47 K
12/13/2023 12:57,2.46 K
12/13/2023 12:57,2.46 K
12/13/2023 12:57,2.46 K
12/13/2023 12:57,2.47 K
12/13/2023 12:57,2.47 K
12/13/2023 12:57,2.47 K
12/13/2023 12:57,2.47 K
12/13/2023 12:57,2.47 K
12/13/2023 12:57,2.46 K
12/13/2023 12:57,2.46 K
12/13/2023 12:57,2.47 K
12/13/2023 12:57,2.47 K
12/13/2023 12:57,2.47 K
12/13/2023 12:57,2.48 K
12/13/2023 12:57,2.48 K
12/13/2023 12:57,2.44 K
12/13/2023 12:58,2.44 K
12/13/2023 12:58,1.62 K
12/13/2023 12:58,2.47 K
12/13/2023 12:58,2.47 K
12/13/2023 12:58,2.46 K
12/13/2023 12:58,2.46 K
12/13/2023 12:58,2.46 K
12/13/2023 12:58,2.46 K
12/13/2023 12:58,2.46 K
12/13/2023 12:58,2.43 K
12/13/2023 12:58,2.43 K
12/13/2023 12:58,2.43 K
12/13/2023 12:58,2.48 K
12/13/2023 12:58,2.48 K
12/13/2023 12:58,2.47 K
12/13/2023 12:58,2.47 K
12/13/2023 12:58,2.47 K
12/13/2023 12:58,2.46 K
12/13/2023 12:58,2.46 K
12/13/2023 12:58,2.47 K
12/13/2023 12:58,2.47 K
12/13/2023 12:58,2.47 K
12/13/2023 12:58,2.47 K
12/13/2023 12:58,2.47 K
12/13/2023 12:58,2.47 K
12/13/2023 12:58,2.47 K
12/13/2023 12:58,2.47 K
12/13/2023 12:58,2.48 K
12/13/2023 12:58,2.48 K
12/13/2023 12:58,2.47 K
12/13/2023 12:59,2.47 K
12/13/2023 12:59,2.47 K
12/13/2023 12:59,2.47 K
12/13/2023 12:59,2.47 K
12/13/2023 12:59,2.46 K
12/13/2023 12:59,2.46 K
12/13/2023 12:59,2.46 K
12/13/2023 12:59,2.57 K
12/13/2023 12:59,2.57 K
12/13/2023 12:59,2.58 K
12/13/2023 12:59,2.58 K
12/13/2023 12:59,2.58 K
12/13/2023 12:59,2.59 K
12/13/2023 12:59,2.59 K
12/13/2023 12:59,2.59 K
12/13/2023 12:59,2.59 K
12/13/2023 12:59,2.59 K
12/13/2023 12:59,2.60 K
12/13/2023 12:59,2.60 K
12/13/2023 12:59,2.60 K
12/13/2023 12:59,2.60 K
12/13/2023 12:59,2.60 K
12/13/2023 12:59,2.59 K
12/13/2023 12:59,2.59 K
12/13/2023 12:59,2.59 K
12/13/2023 12:59,2.59 K
12/13/2023 12:59,2.59 K
12/13/2023 12:59,2.59 K
12/13/2023 12:59,2.59 K
12/13/2023 12:59,2.59 K
12/13/2023 13:00,2.59 K
12/13/2023 13:00,
12/13/2023 13:00,2.59 K
12/13/2023 13:00,2.59 K
12/13/2023 13:00,2.61 K
12/13/2023 13:00,2.61 K
12/13/2023 13:00,2.61 K
12/13/2023 13:00,2.89 K
12/13/2023 13:00,2.89 K
12/13/2023 13:00,2.66 K
12/13/2023 13:00,2.66 K
12/13/2023 13:00,2.66 K
12/13/2023 13:00,2.60 K
12/13/2023 13:00,2.60 K
12/13/2023 13:00,2.51 K
12/13/2023 13:00,2.51 K
12/13/2023 13:00,704
12/13/2023 13:00,2.61 K
12/13/2023 13:00,2.61 K
12/13/2023 13:00,2.59 K
12/13/2023 13:00,2.59 K
12/13/2023 13:00,2.59 K
12/13/2023 13:00,2.57 K
12/13/2023 13:00,2.34 K
12/13/2023 13:00,2.53 K
12/13/2023 13:00,2.53 K
12/13/2023 13:00,2.53 K
12/13/2023 13:00,3.17 K
12/13/2023 13:00,3.17 K
12/13/2023 13:00,2.66 K
12/13/2023 13:01,2.66 K
12/13/2023 13:01,2.66 K
12/13/2023 13:01,2.61 K
12/13/2023 13:01,2.61 K
12/13/2023 13:01,2.59 K
12/13/2023 13:01,2.59 K
12/13/2023 13:01,2.12 K
12/13/2023 13:01,2.58 K
12/13/2023 13:01,2.58 K
12/13/2023 13:01,2.63 K
12/13/2023 13:01,2.63 K
12/13/2023 13:01,2.63 K
12/13/2023 13:01,2.60 K
12/13/2023 13:01,2.60 K
12/13/2023 13:01,2.60 K
12/13/2023 13:01,2.60 K
12/13/2023 13:01,2.59 K
12/13/2023 13:01,2.55 K
12/13/2023 13:01,2.55 K
12/13/2023 13:01,2.44 K
12/13/2023 13:01,2.44 K
12/13/2023 13:01,984
12/13/2023 13:01,3.00 K
12/13/2023 13:01,3.00 K
12/13/2023 13:01,2.82 K
12/13/2023 13:01,2.82 K
12/13/2023 13:01,2.36 K
12/13/2023 13:01,2.60 K
12/13/2023 13:01,2.60 K
12/13/2023 13:01,2.61 K
12/13/2023 13:02,2.61 K
12/13/2023 13:02,2.61 K
12/13/2023 13:02,2.61 K
12/13/2023 13:02,2.61 K
12/13/2023 13:02,2.59 K
12/13/2023 13:02,2.59 K
12/13/2023 13:02,2.59 K
12/13/2023 13:02,2.60 K
12/13/2023 13:02,2.60 K
12/13/2023 13:02,2.59 K
12/13/2023 13:02,2.59 K
12/13/2023 13:02,2.59 K
12/13/2023 13:02,2.61 K
12/13/2023 13:02,2.61 K
12/13/2023 13:02,1.66 K
